,BldgType,MSZoning,LotShape,LandSlope,Condition1,Condition2,Heating,HeatingQC,CentralAir,ExterCond,Functional,LotArea,LowQualFinSF,GrLivArea,PoolArea,GarageCars,ScreenPorch,OverallQual,OverallCond,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,WoodDeckSF,OpenPorchSF,3SsnPorch,YearBuilt,YearRemodAdd,MoSold,YrSold,SalePricePerSqf
0,0.0,3.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,6.0,8450.0,0.0,1710.0,,2.0,0.0,7.0,5.0,2.0,1.0,3.0,1.0,8.0,0.0,61.0,0.0,2003.0,2003.0,2.0,2008.0,24.674556213017752
1,0.0,3.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,4.0,6.0,9600.0,0.0,1262.0,0.0,2.0,0.0,6.0,8.0,2.0,0.0,3.0,1.0,6.0,298.0,0.0,0.0,1976.0,1976.0,5.0,2007.0,18.90625
2,0.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,6.0,11250.0,0.0,1786.0,0.0,2.0,0.0,7.0,5.0,2.0,1.0,,1.0,6.0,0.0,42.0,0.0,2001.0,2002.0,9.0,2008.0,19.866666666666667
3,0.0,3.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,4.0,6.0,9550.0,0.0,1717.0,0.0,,0.0,7.0,5.0,1.0,0.0,3.0,1.0,7.0,0.0,35.0,0.0,1915.0,1970.0,,2006.0,14.659685863874346
4,0.0,3.0,0.0,0.0,2.0,,1.0,0.0,1.0,4.0,6.0,14260.0,0.0,2198.0,0.0,3.0,0.0,8.0,5.0,,1.0,4.0,1.0,9.0,192.0,84.0,0.0,2000.0,2000.0,12.0,2008.0,17.53155680224404
5,0.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,6.0,14115.0,0.0,1362.0,0.0,2.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,,30.0,320.0,1993.0,1995.0,10.0,2009.0,10.131066241586964
6,0.0,3.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,6.0,10084.0,0.0,1694.0,0.0,2.0,0.0,8.0,5.0,2.0,0.0,3.0,1.0,7.0,255.0,57.0,0.0,2004.0,2005.0,8.0,2007.0,30.444268147560493
7,0.0,3.0,0.0,0.0,4.0,2.0,1.0,0.0,,4.0,6.0,10382.0,0.0,2090.0,0.0,2.0,0.0,7.0,6.0,2.0,1.0,3.0,1.0,7.0,235.0,204.0,0.0,1973.0,1973.0,11.0,2009.0,19.264110961279137
8,0.0,4.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,4.0,2.0,6120.0,0.0,1774.0,0.0,2.0,0.0,7.0,5.0,2.0,0.0,,2.0,8.0,90.0,0.0,0.0,1931.0,1950.0,4.0,2008.0,21.225490196078432
9,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,6.0,7420.0,0.0,1077.0,0.0,,,5.0,6.0,1.0,0.0,2.0,2.0,5.0,0.0,4.0,0.0,1939.0,1950.0,1.0,2008.0,15.902964959568733
10,0.0,3.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,6.0,11200.0,0.0,1040.0,0.0,1.0,0.0,5.0,5.0,1.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,1965.0,1965.0,2.0,2008.0,11.5625
11,0.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,6.0,11924.0,0.0,2324.0,0.0,3.0,0.0,9.0,5.0,3.0,0.0,4.0,1.0,11.0,147.0,21.0,0.0,2005.0,2006.0,7.0,2006.0,28.933243877893325
12,0.0,3.0,1.0,0.0,2.0,2.0,1.0,4.0,1.0,4.0,6.0,12968.0,0.0,912.0,0.0,1.0,176.0,5.0,6.0,1.0,0.0,2.0,1.0,4.0,140.0,0.0,0.0,1962.0,1962.0,9.0,2008.0,11.104256631708822
13,0.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,6.0,10652.0,0.0,1494.0,0.0,3.0,0.0,7.0,5.0,2.0,0.0,,1.0,7.0,160.0,,0.0,2006.0,,8.0,2007.0,26.239203905369884
14,0.0,3.0,0.0,0.0,2.0,2.0,1.0,4.0,1.0,4.0,6.0,10920.0,0.0,1253.0,0.0,1.0,0.0,6.0,5.0,1.0,1.0,2.0,1.0,5.0,0.0,213.0,0.0,1960.0,1960.0,5.0,2008.0,14.377289377289378
15,0.0,4.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,6.0,6120.0,0.0,854.0,0.0,2.0,0.0,7.0,8.0,1.0,0.0,2.0,1.0,5.0,48.0,112.0,0.0,1929.0,2001.0,7.0,2007.0,21.568627450980394
16,0.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,6.0,,0.0,1004.0,0.0,2.0,0.0,6.0,7.0,1.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,1970.0,1970.0,3.0,2010.0,
17,2.0,3.0,3.0,0.0,2.0,2.0,1.0,4.0,,4.0,6.0,10791.0,0.0,1296.0,0.0,2.0,0.0,4.0,5.0,2.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,1967.0,1967.0,10.0,2006.0,8.340283569641368
18,0.0,3.0,3.0,0.0,5.0,2.0,1.0,0.0,1.0,4.0,6.0,13695.0,0.0,1114.0,0.0,2.0,0.0,5.0,5.0,1.0,1.0,3.0,1.0,6.0,0.0,102.0,0.0,2004.0,2004.0,6.0,2008.0,11.610076670317634
19,0.0,3.0,3.0,0.0,2.0,2.0,1.0,,1.0,4.0,2.0,7560.0,0.0,1339.0,0.0,1.0,0.0,5.0,6.0,1.0,0.0,3.0,1.0,6.0,0.0,,0.0,1958.0,1965.0,5.0,2009.0,18.386243386243386
